Songs & Artist,Streams,Daily
Natasha Bedingfield - Unwritten,"1,73,50,01,210 ","11,55,457 "
Alessia Cara - Scars To Your Beautiful,"1,73,28,07,792 ","4,72,499 "
Khalid - Better,"1,72,62,45,978 ","5,92,903 "
The Cranberries - Zombie,"1,72,57,15,393 ","9,13,151 "
David Kushner - Daylight,"1,72,36,82,223 ","6,91,626 "
Various Artists -,"1,72,36,82,223 ","6,91,626 "
Pharrell Williams - Happy,"1,72,34,96,178 ","5,23,911 "
Ariana Grande - positions,"1,71,60,99,664 ","3,84,189 "
Martin Garrix - In the Name of Love,"1,71,57,87,895 ","4,97,528 "
Dynoro - In My Mind,"1,71,30,53,944 ","2,87,967 "
Lady Gaga - Just Dance,"1,71,13,17,759 ","10,59,543 "
Taylor Swift - Style,"1,71,08,87,293 ","13,40,459 "
Fleetwood Mac - The Chain,"1,70,76,90,164 ","12,90,598 "
Bruno Mars - Leave The Door Open,"1,70,49,22,830 ","8,54,891 "
ZAYN - PILLOWTALK,"1,70,27,81,455 ","5,92,639 "
NF - Let You Down,"1,70,06,20,721 ","3,39,454 "
Kygo - It Ainât Me,"1,69,99,38,715 ","5,36,216 "
KAROL G - Tusa,"1,69,91,70,358 ","2,66,463 "
XXXTENTACION - Look At Me!,"1,69,45,25,554 ","2,98,634 "
KAROL G - PROVENZA,"1,69,45,12,106 ","6,07,055 "
Portugal. The Man - Feel It Still,"1,69,44,44,708 ","5,76,831 "
Fifth Harmony - Work from Home,"1,69,29,51,889 ","4,52,907 "
Kate Bush - Running Up That Hill (A Deal With God),"1,68,83,62,290 ","8,93,840 "
Kanye West - Flashing Lights,"1,68,82,75,183 ","12,31,085 "
Sean Paul - No Lie,"1,68,81,19,619 ","10,38,792 "
Bad Bunny - DtMF,"1,68,76,33,298 ","38,41,094 "
Lost Frequencies - Where Are You Now,"1,68,50,33,861 ","4,05,240 "
Lil Nas X - Old Town Road,"1,68,40,93,271 ","3,21,731 "
The Lumineers - Ho Hey,"1,68,31,16,273 ","6,36,733 "
MKTO - Classic,"1,68,18,67,616 ","3,49,620 "
Lil Peep - Falling Down,"1,68,11,52,383 ","7,06,945 "
Maluma - HawÃ¡i,"1,67,98,11,440 ","5,39,898 "
Maroon 5 - This Love,"1,67,94,17,400 ","11,70,612 "
Nickelback - How You Remind Me,"1,67,65,70,538 ","9,85,921 "
Post Malone - Psycho,"1,67,44,92,420 ","2,88,025 "
Surf Curse - Freaks,"1,67,44,71,503 ","9,38,853 "
Rihanna - Work,"1,67,33,60,640 ","4,73,871 "
sombr - back to friends,"1,67,32,66,701 ","38,17,533 "
The Fray - How To Save A Life,"1,67,30,75,204 ","7,14,202 "
Jessie J - Bang Bang,"1,67,19,67,693 ","4,70,807 "
KAROL G - Si Antes Te Hubiera Conocido,"1,67,00,83,865 ","12,95,426 "
TV Girl - Lovers Rock,"1,66,95,09,690 ","11,01,642 "
Foo Fighters - Everlong,"1,66,89,34,614 ","9,62,981 "
Imagine Dragons - Whatever It Takes,"1,66,84,57,997 ","5,74,335 "
Steve Lacy - Bad Habit,"1,66,66,88,795 ","9,66,049 "
Michael Jackson - Beat It,"1,66,07,58,909 ","9,26,647 "
Shawn Mendes - Mercy,"1,66,05,01,598 ","5,14,315 "
"The Rolling Stones - Paint It, Black","1,65,95,74,059 ","6,46,287 "
Hotel Ugly - Shut up My Moms Calling,"1,65,88,09,564 ","13,12,689 "
A$AP Rocky - Praise The Lord (Da Shine),"1,65,45,43,645 ","5,27,708 "
Sam Smith - Dancing With A Stranger,"1,65,19,69,441 ","5,68,258 "
Queen - We Will Rock You,"1,65,19,22,304 ","4,76,599 "
Gracie Abrams - Thatâs So True,"1,65,17,42,257 ","14,93,162 "
AC/DC - You Shook Me All Night Long,"1,64,74,22,710 ","7,41,096 "
Lynyrd Skynyrd - Sweet Home Alabama,"1,64,65,57,124 ","5,04,639 "
Bad Bunny - Efecto,"1,64,45,90,309 ","5,33,796 "
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),"1,64,19,77,617 ","7,00,075 "
Jonas Brothers - Sucker,"1,64,12,70,904 ","2,83,614 "
Bad Bunny - Yonaguni,"1,64,02,25,683 ","4,53,795 "
Drake - Hotline Bling,"1,63,76,68,265 ","6,65,649 "
Bryan Adams - Summer Of '69,"1,63,74,74,940 ","6,66,785 "
Guns N' Roses - Welcome To The Jungle,"1,63,74,57,034 ","7,69,332 "
Shaboozey - A Bar Song (Tipsy),"1,63,54,67,468 ","9,62,832 "
Rihanna - S&M,"1,63,51,53,946 ","11,61,798 "
Adele - When We Were Young,"1,63,27,08,255 ","4,92,593 "
Akon - Smack That,"1,63,26,77,623 ","9,43,447 "
Cyndi Lauper - Girls Just Wanna Have Fun,"1,63,06,86,569 ","6,62,330 "
Cyndi Lauper - Girls Just Want to Have Fun,"1,63,06,86,569 ","6,40,494 "
Marshmello - FRIENDS,"1,62,79,91,379 ","3,07,178 "
girl in red - we fell in love in october,"1,62,56,74,735 ","7,84,253 "
SZA - Good Days,"1,62,40,74,979 ","6,71,517 "
Kali Uchis - telepatÃ­a,"1,62,24,73,755 ","8,26,638 "
Daddy Yankee - Con Calma,"1,62,24,12,754 ","4,53,330 "
Lil Peep - Star Shopping,"1,62,23,41,680 ","5,74,242 "
Rihanna - Don't Stop The Music,"1,62,03,22,354 ","12,81,481 "
The Lumineers - Ophelia,"1,61,95,24,175 ","4,46,460 "
Ben E. King - Stand by Me,"1,61,81,30,870 ","10,15,500 "
Beach House - Space Song,"1,61,53,15,835 ","7,33,510 "
Axwell /\ Ingrosso - More Than You Know,"1,60,83,80,330 ","3,59,255 "
Metallica - Nothing Else Matters,"1,60,48,43,634 ","7,25,800 "
Olivia Rodrigo - happier,"1,60,00,37,471 ","6,74,444 "
Olivia Rodrigo - vampire,"1,59,91,01,013 ","8,33,781 "
Plan B - Es un Secreto,"1,59,84,71,502 ","11,94,103 "
Black Sabbath - Paranoid,"1,59,79,67,835 ","7,30,491 "
The Notorious B.I.G. - Hypnotize,"1,59,76,11,112 ","8,05,256 "
"G-Eazy - Me, Myself & I","1,59,49,42,650 ","4,93,299 "
Regard - Ride It,"1,59,34,35,288 ","2,28,527 "
Khalid - Location,"1,59,14,49,427 ","3,26,947 "
Arizona Zervas - ROXANNE,"1,58,85,85,216 ","3,17,173 "
Fetty Wap - Trap Queen,"1,58,71,42,619 ","10,00,676 "
Coldplay - My Universe,"1,58,40,55,146 ","4,81,765 "
Daniel Caesar - Get You,"1,58,18,71,921 ","6,68,598 "
KALEO - Way down We Go,"1,58,03,61,906 ","6,64,415 "
Taylor Swift - Donât Blame Me,"1,57,75,48,481 ","4,91,856 "
Elton John - I'm Still Standing,"1,57,67,05,377 ","7,50,643 "
The Neighbourhood - Softcore,"1,57,56,21,497 ","9,43,898 "
Ed Sheeran - Castle on the Hill,"1,57,50,48,213 ","3,14,083 "
Ed Sheeran - Galway Girl,"1,57,36,88,427 ","4,36,820 "
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]","1,57,27,56,772 ","7,11,715 "
HUNTR/X - Golden,"1,57,21,56,997 ","31,01,393 "
Feid - LUNA,"1,57,19,49,090 ","9,34,403 "
Aerosmith - Dream On,"1,57,12,51,747 ","5,30,045 "
Ariana Grande - Dangerous Woman,"1,56,60,19,294 ","6,73,149 "
Bad Bunny - Moscow Mule,"1,56,59,38,659 ","7,61,566 "
J. Cole - Wet Dreamz,"1,56,54,40,487 ","5,24,798 "
JVKE - golden hour,"1,56,37,59,862 ","6,93,427 "
Brenda Lee - Rockin' Around The Christmas Tree,"1,55,97,77,442 ","26,599 "
Juice WRLD - Robbery,"1,55,90,07,876 ","3,31,245 "
Tyga - Taste,"1,55,88,91,295 ","2,33,508 "
Amy Winehouse - Back To Black,"1,55,87,02,669 ","8,60,676 "
Macklemore & Ryan Lewis - Thrift Shop,"1,55,85,29,137 ","4,63,684 "
Macklemore & Ryan Lewis - Thrift Shop,"1,55,85,29,137 ","4,63,684 "
Bruno Mars - It Will Rain,"1,55,69,49,915 ","14,07,692 "
Travis Scott - FE!N,"1,55,51,13,349 ","7,32,421 "
Ariana Grande - no tears left to cry,"1,55,44,10,988 ","3,95,553 "
Flo Rida - Low,"1,55,36,46,704 ","9,08,968 "
"gnash - i hate u, i love u","1,55,24,70,953 ","2,30,731 "
Bad Bunny - MIA,"1,55,16,39,391 ","4,53,786 "
Frank Ocean - Thinkin Bout You,"1,55,10,96,470 ","8,90,928 "
Bruno Mars - Marry You,"1,55,05,18,176 ","7,57,135 "
Bebe Rexha - Meant to Be,"1,54,86,96,402 ","2,32,269 "
Calvin Harris - How Deep Is Your Love,"1,54,86,50,055 ","7,67,286 "
fun. - We Are Young,"1,54,67,09,138 ","7,81,571 "
Eslabon Armado - Ella Baila Sola,"1,54,60,41,934 ","4,90,317 "
Imagine Dragons - Natural,"1,54,36,98,623 ","4,49,185 "
Harry Styles - Falling,"1,54,33,18,909 ","5,99,699 "
Nicki Minaj - Starships,"1,54,29,21,032 ","6,81,228 "
Ed Sheeran - Beautiful People,"1,54,11,87,843 ","1,82,639 "
Major Lazer - Light It Up (Remix),"1,53,96,40,719 ","3,46,127 "
Alicia Keys - If I Ain't Got You,"1,53,92,64,190 ","7,36,315 "
George Ezra - Budapest,"1,53,82,28,808 ","4,81,464 "
TLC - No Scrubs,"1,53,56,63,714 ","9,66,558 "
Doja Cat - Streets,"1,53,44,14,769 ","7,33,945 "
Zach Bryan - Something in the Orange,"1,53,43,64,972 ","8,32,777 "
Coldplay - Adventure of a Lifetime,"1,53,42,19,270 ","10,64,710 "
The Verve - Bitter Sweet Symphony,"1,53,41,42,772 ","9,91,317 "
Bon Jovi - You Give Love A Bad Name,"1,53,41,41,952 ","7,04,463 "
Doja Cat - Paint The Town Red,"1,53,24,87,987 ","5,85,363 "
The Weeknd - Stargirl Interlude,"1,53,21,65,558 ","4,60,445 "
Selena Gomez - Wolves,"1,53,17,65,080 ","2,30,250 "
Sabrina Carpenter - Nonsense,"1,53,00,92,610 ","6,81,457 "
Cardi B - WAP,"1,52,99,95,135 ","3,58,804 "
Papa Roach - Last Resort,"1,52,82,35,132 ","6,81,025 "
Outkast - Ms. Jackson,"1,52,62,65,520 ","7,32,830 "
Internet Money - Lemonade,"1,52,48,87,093 ","2,51,937 "
Ice Cube - It Was A Good Day,"1,52,47,09,106 ","5,59,037 "
Duncan Laurence - Arcade,"1,52,28,61,192 ","5,00,149 "
KISS - I Was Made For Lovin' You,"1,51,85,05,400 ","9,04,652 "
Green Day - Basket Case,"1,51,77,74,374 ","7,25,624 "
GIVÄON - Heartbreak Anniversary,"1,51,76,69,855 ","5,51,964 "
Fall Out Boy - Centuries,"1,51,74,49,374 ","5,60,915 "
Robin Schulz - Sugar,"1,51,67,97,119 ","4,58,392 "
Katy Perry - Roar,"1,51,52,83,337 ","4,86,209 "
JAÅ¸-Z - Empire State Of Mind,"1,51,45,22,896 ","9,43,724 "
Ariana Grande - Santa Tell Me,"1,51,44,43,388 ","50,184 "
Calvin Harris - Feel So Close,"1,51,38,34,833 ","11,39,902 "
J. Cole - MIDDLE CHILD,"1,51,32,00,278 ","3,48,516 "
Drake - In My Feelings,"1,51,15,05,944 ","2,10,320 "
blink-182 - All The Small Things,"1,51,00,09,710 ","6,68,108 "
XXXTENTACION - changes,"1,50,99,65,461 ","1,71,967 "
Frank Ocean - Lost,"1,50,86,36,569 ","8,32,383 "
Calum Scott - Dancing On My Own,"1,50,73,62,566 ","3,67,966 "
Artemas - i like the way you kiss me,"1,50,69,15,753 ","6,81,942 "
Olivia Rodrigo - favorite crime,"1,50,54,00,547 ","5,81,367 "
Stephen Sanchez - Until I Found You,"1,50,26,36,850 ","6,96,996 "
Logic - 1-800-273-8255,"1,49,73,82,995 ","2,88,386 "
Justin Bieber - Beauty And A Beat,"1,49,70,68,489 ","10,63,972 "
System Of A Down - Toxicity,"1,49,41,24,312 ","8,48,525 "
Martin Garrix - Scared to Be Lonely,"1,49,20,94,830 ","3,91,446 "
Grupo Frontera - un x100to,"1,48,76,39,281 ","6,48,018 "
Kanye West - Gold Digger,"1,48,76,04,680 ","5,39,653 "
Katy Perry - Firework,"1,48,68,62,142 ","6,22,379 "
Red Hot Chili Peppers - Scar Tissue,"1,48,67,89,526 ","13,46,525 "
George Michael - Careless Whisper,"1,48,47,90,724 ","8,18,908 "
Lil Mosey - Blueberry Faygo,"1,48,21,47,223 ","2,85,275 "
Lorde - Royals,"1,47,84,98,041 ","4,21,443 "
Disclosure - Latch,"1,47,83,34,070 ","7,97,281 "
Ed Sheeran - Happier,"1,47,79,64,973 ","2,01,537 "
Elton John - Rocket Man (I Think It's Going To Be A Long Long Time),"1,47,53,14,504 ","6,16,903 "
Hoobastank - The Reason,"1,47,51,04,492 ","8,83,022 "
Justin Bieber - Baby,"1,47,38,42,484 ","8,05,611 "
Lil Uzi Vert - 20 Min,"1,47,37,65,475 ","8,52,505 "
The Clash - Should I Stay or Should I Go,"1,47,23,54,803 ","6,45,231 "
Drake - Nice For What,"1,47,08,54,347 ","3,68,674 "
Coldplay - Clocks,"1,46,91,12,199 ","8,52,360 "
The Notorious B.I.G. - Big Poppa,"1,46,90,31,041 ","7,34,518 "
Red Hot Chili Peppers - Otherside,"1,46,75,18,582 ","9,62,650 "
MÃ¥neskin - I WANNA BE YOUR SLAVE,"1,46,74,05,592 ","6,51,049 "
Justin Timberlake - Mirrors,"1,46,64,09,506 ","8,07,136 "
Gnarls Barkley - Crazy,"1,46,63,03,011 ","7,94,302 "
Empire Of The Sun - Walking On A Dream,"1,46,37,64,133 ","10,64,730 "
The Chainsmokers - Paris,"1,46,36,16,464 ","5,40,625 "
Eminem - Stan,"1,46,28,27,160 ","5,21,143 "
Sia - Snowman,"1,46,21,31,344 ","2,08,380 "
Florence + The Machine - Dog Days Are Over,"1,46,05,38,515 ","7,59,209 "
Bobby Helms - Jinglebell Rock,"1,46,01,29,125 ","32,682 "
Swedish House Mafia - Don't You Worry Child,"1,45,70,63,649 ","7,56,053 "
Various Artists -,"1,45,59,80,953 ","5,46,496 "
Kanye West - Father Stretch My Hands Pt. 1,"1,45,53,91,655 ","4,24,052 "
KAROL G - TQG,"1,45,44,26,858 ","4,92,940 "
Selena Gomez - Lose You To Love Me,"1,45,43,31,019 ","3,24,837 "
Kendrick Lamar - luther,"1,45,29,92,875 ","13,23,868 "
M83 - Midnight City,"1,45,28,01,854 ","5,88,051 "
The Weeknd - Timeless,"1,45,18,93,454 ","15,20,902 "
Dua Lipa - Break My Heart,"1,45,06,84,596 ","4,64,063 "
Morgan Wallen - Last Night,"1,44,99,69,683 ","6,34,787 "
Post Malone - Goodbyes,"1,44,81,36,461 ","2,82,430 "
Chris Stapleton - Tennessee Whiskey,"1,44,76,10,682 ","7,35,126 "
Kendrick Lamar - DNA.,"1,44,74,13,749 ","3,93,094 "
Future - Life Is Good,"1,44,61,14,083 ","3,52,656 "
Van Morrison - Brown Eyed Girl,"1,44,59,50,451 ","3,37,558 "
BTS - Butter,"1,44,06,13,936 ","3,57,479 "
The Weeknd - I Was Never There,"1,44,03,35,201 ","5,32,830 "
Jimin - Like Crazy,"1,43,69,48,705 ","4,17,046 "
Post Malone - I Had Some Help (Feat. Morgan Wallen),"1,43,65,56,486 ","9,29,777 "
Tory Lanez - The Color Violet,"1,43,64,40,464 ","9,46,447 "
Spice Girls - Wannabe,"1,43,59,19,322 ","5,15,167 "
Rauw Alejandro - Desesperados,"1,43,47,28,842 ","3,17,123 "
Elley DuhÃ© - MIDDLE OF THE NIGHT,"1,43,46,53,338 ","4,01,063 "
Doja Cat - Need to Know,"1,43,41,84,435 ","4,45,008 "
David Guetta - Memories,"1,43,37,52,425 ","10,27,558 "
The Outfield - Your Love,"1,43,35,05,152 ","7,68,983 "
Katy Perry - The One That Got Away,"1,43,13,90,034 ","13,64,701 "
Timbaland - The Way I Are,"1,42,56,22,667 ","10,44,564 "
Jung Kook - Standing Next to You,"1,42,44,65,305 ","7,66,975 "
Sabrina Carpenter - Taste,"1,42,41,33,018 ","11,43,101 "
Taylor Swift - Look What You Made Me Do,"1,42,09,39,982 ","2,88,847 "
Bee Gees - Stayin' Alive,"1,41,62,86,032 ","7,80,192 "
Jay Wheeler - La Curiosidad,"1,41,60,79,943 ","4,17,076 "
Maroon 5 - What Lovers Do,"1,41,55,53,469 ","3,18,854 "
The Weeknd - Reminder,"1,41,43,56,737 ","5,44,269 "
Lilly Wood and The Prick - Prayer in C,"1,41,20,60,627 ","5,55,020 "
Guns N' Roses - Paradise City,"1,41,10,82,353 ","5,61,091 "
Ariana Grande - Stuck with U,"1,41,07,84,759 ","4,04,939 "
U2 - With Or Without You,"1,40,84,96,679 ","6,39,639 "
Loud Luxury - Body,"1,40,57,27,885 ","3,28,759 "
blackbear - hot girl bummer,"1,40,56,27,754 ","1,86,846 "
Mario - Let Me Love You,"1,40,49,33,289 ","6,63,339 "
WILLOW - Wait a Minute!,"1,40,40,24,493 ","9,62,092 "
Zedd - Stay,"1,40,32,53,212 ","3,13,225 "
Kodaline - All I Want,"1,40,31,05,188 ","4,34,951 "
New West - Those Eyes,"1,40,26,70,290 ","9,12,030 "
Fleetwood Mac - Everywhere,"1,40,21,13,481 ","9,86,900 "
KAROL G - QLONA,"1,40,12,17,290 ","4,53,476 "
Iyaz - Replay,"1,40,11,03,460 ","8,47,424 "
Lost Frequencies - Are You With Me,"1,40,06,65,942 ","4,56,164 "
Masked Wolf - Astronaut In The Ocean,"1,40,03,71,164 ","2,02,806 "
Daddy Yankee - Gasolina,"1,39,91,44,395 ","8,67,057 "
"Beach Weather - Sex, Drugs, Etc.","1,39,83,30,355 ","7,12,200 "
LISA - MONEY,"1,39,76,93,752 ","2,39,156 "
Rosa Linn - SNAP,"1,39,72,33,746 ","5,16,998 "
Taio Cruz - Dynamite,"1,39,64,11,047 ","5,28,237 "
Tommy Richman - MILLION DOLLAR BABY,"1,39,63,12,672 ","5,45,671 "
Justin Bieber - Intentions,"1,39,59,85,229 ","3,38,381 "
Lil Wayne - Love Me,"1,39,50,05,211 ","9,45,859 "
JP Saxe - If the World Was Ending,"1,39,41,26,424 ","4,11,424 "
Benson Boone - In The Stars,"1,39,20,02,300 ","7,04,958 "
DJ Khaled - I'm the One,"1,39,18,80,430 ","2,10,286 "
Swedish House Mafia - Moth To A Flame,"1,39,04,20,413 ","8,43,827 "
Bob Marley & The Wailers - Could You Be Loved,"1,39,01,70,449 ","8,23,770 "
James Bay - Let It Go,"1,38,94,39,910 ","2,99,944 "
Eminem - The Monster,"1,38,81,28,304 ","7,59,107 "
One Direction - Drag Me Down,"1,38,68,70,068 ","3,68,269 "
Lewis Capaldi - Bruises,"1,38,67,67,611 ","3,14,664 "
TiÃ«sto - The Business,"1,38,09,01,644 ","3,01,088 "
Zach Bryan - I Remember Everything,"1,37,92,83,689 ","8,67,702 "
Joel Corry - Head & Heart,"1,37,89,82,351 ","2,00,967 "
Cage The Elephant - Cigarette Daydreams,"1,37,76,30,260 ","6,17,195 "
Red Hot Chili Peppers - Snow (Hey Oh),"1,37,75,97,309 ","6,50,096 "
Doja Cat - Say So,"1,37,56,46,561 ","2,89,071 "
Kungs - This Girl,"1,37,47,39,722 ","4,28,157 "
DJ Khaled - Wild Thoughts,"1,37,45,03,143 ","3,29,836 "
Bad Bunny - BAILE INoLVIDABLE,"1,37,40,23,804 ","29,72,744 "
Chase Atlantic - Swim,"1,37,40,08,307 ","9,02,691 "
Katy Perry - Hot N Cold,"1,37,28,40,018 ","8,56,919 "
Shakira - Chantaje,"1,37,09,70,346 ","6,61,689 "
Linkin Park - What I've Done,"1,36,97,22,491 ","10,34,180 "
Black Eyed Peas - Where Is The Love?,"1,36,91,49,447 ","6,47,978 "
Lana Del Rey - Video Games,"1,36,91,08,143 ","6,90,455 "
Imagine Dragons - Bad Liar,"1,36,79,02,447 ","4,55,261 "
Smash Mouth - All Star,"1,36,73,32,423 ","4,22,933 "
Daryl Hall & John Oates - You Make My Dreams (Come True),"1,36,62,84,814 ","4,83,034 "
Adele - Make You Feel My Love,"1,36,62,42,374 ","3,39,819 "
USHER - DJ Got Us Fallin' In Love,"1,36,54,77,742 ","8,14,073 "
David Guetta - Sexy Bitch,"1,36,38,74,226 ","7,42,929 "
Daft Punk - Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"1,36,38,03,500 ","4,23,836 "
Billy Joel - Uptown Girl,"1,36,34,53,920 ","6,52,933 "
Justin Timberlake - SexyBack,"1,36,23,12,479 ","10,01,371 "
Calvin Harris - My Way,"1,36,18,27,490 ","5,98,981 "
Green Day - American Idiot,"1,36,16,75,022 ","7,21,961 "
Bruno Mars - The Lazy Song,"1,36,05,90,251 ","7,04,088 "
Bob Marley & The Wailers - Three Little Birds,"1,36,04,78,355 ","5,50,556 "
Arctic Monkeys - R U Mine?,"1,35,97,21,084 ","5,07,181 "
Bruno Mars - Treasure,"1,35,90,82,505 ","6,27,954 "
Anuel AA - China,"1,35,88,93,536 ","3,53,178 "
Fleetwood Mac - Go Your Own Way,"1,35,88,53,666 ","6,46,208 "
Post Malone - White Iverson,"1,35,76,44,671 ","4,69,362 "
The Script - Breakeven,"1,35,71,45,213 ","8,15,456 "
Julia Michaels - Issues,"1,35,58,56,060 ","2,20,363 "
Of Monsters and Men - Little Talks,"1,35,53,29,986 ","5,09,082 "
Foreigner - I Want to Know What Love Is,"1,35,51,91,899 ","8,33,799 "
Shaggy - It Wasn't Me,"1,35,42,95,573 ","6,51,721 "
Michael BublÃ© - It's Beginning to Look a Lot like Christmas,"1,35,24,20,181 ","18,307 "
Michael BublÃ© - Itâs Beginning to Look a Lot Like Christmas,"1,35,24,20,181 ","18,219 "
Tyla - Water,"1,35,10,45,156 ","7,99,334 "
Yng Lvcas - La Bebe,"1,35,09,49,731 ","5,05,499 "
Calvin Harris - Feels,"1,35,08,26,787 ","4,92,217 "
Meek Mill - Going Bad,"1,35,06,68,224 ","2,15,167 "
Billie Eilish - idontwannabeyouanymore,"1,35,02,95,146 ","3,56,994 "
Don Omar - Dile,"1,34,96,91,858 ","8,73,481 "
Pop Smoke - What You Know Bout Love,"1,34,89,04,090 ","2,38,688 "
"The Offspring - You're Gonna Go Far, Kid","1,34,87,05,880 ","5,80,674 "
4 Non Blondes - What's Up?,"1,34,75,71,359 ","8,01,789 "
BÃRNS - Electric Love,"1,34,72,65,069 ","4,33,212 "
Myke Towers - LALA,"1,34,71,61,009 ","4,29,202 "
The Chainsmokers - Roses,"1,34,37,15,455 ","8,51,009 "
Ariana Grande - Love Me Harder,"1,34,36,17,910 ","10,52,112 "
Patrick Watson - Je te laisserai des mots,"1,34,35,77,574 ","6,20,604 "
Rihanna - FourFiveSeconds,"1,34,28,62,362 ","3,49,552 "
Bill Withers - Ain't No Sunshine,"1,34,16,47,181 ","6,67,704 "
Eminem - Superman,"1,34,10,31,647 ","6,35,372 "
Jonas Blue - Fast Car,"1,33,97,36,129 ","2,64,060 "
The Animals - The House of the Rising Sun,"1,33,87,03,700 ","6,62,262 "
Plain White T's - Hey There Delilah,"1,33,66,53,198 ","4,80,656 "
Miley Cyrus - Angels Like You,"1,33,65,05,491 ","6,15,026 "
R. City - Locked Away,"1,33,49,43,646 ","5,59,928 "
Meghan Trainor - Like I'm Gonna Lose You,"1,33,48,88,752 ","3,30,185 "
Nio Garcia - Te BotÃ©,"1,33,42,56,663 ","3,06,969 "
Billie Eilish - i love you,"1,33,38,44,556 ","5,23,327 "
Aerosmith - I Don't Want to Miss a Thing,"1,33,37,93,394 ","5,51,966 "
Sean Paul - Temperature,"1,33,15,08,128 ","8,62,188 "
Feid - Feliz CumpleaÃ±os Ferxxo,"1,33,09,70,103 ","3,46,867 "
Kygo - Firestone,"1,32,86,67,501 ","3,98,233 "
Avril Lavigne - Complicated,"1,32,74,45,489 ","8,29,669 "
Rag'n'Bone Man - Human,"1,32,53,85,996 ","3,91,743 "
Kanye West - Bound 2,"1,32,46,02,005 ","6,12,047 "
Ali Gatie - It's You,"1,32,42,06,595 ","3,00,858 "
Dr. Dre - The Next Episode,"1,32,30,20,519 ","4,67,666 "
Nicky Youre - Sunroof,"1,32,20,06,378 ","4,00,017 "
Lil Wayne - Sucker for Pain,"1,31,88,77,885 ","3,32,478 "
Sixpence None The Richer - Kiss Me,"1,31,82,13,062 ","8,53,887 "
Oasis - Don't Look Back in Anger,"1,31,80,70,407 ","7,79,916 "
Noah Cyrus - July,"1,31,72,72,625 ","2,71,366 "
Bad Bunny - Diles,"1,31,66,37,686 ","9,88,136 "
Jaymes Young - Infinity,"1,31,59,26,503 ","4,49,536 "
The Weeknd - After Hours,"1,31,39,58,249 ","5,44,933 "
Adele - Skyfall,"1,31,31,11,455 ","9,28,611 "
The Weeknd - Popular,"1,31,22,56,556 ","6,15,994 "
Avicii - Without You,"1,31,21,46,401 ","3,45,723 "
"Tyler, The Creator - EARFQUAKE","1,31,17,66,248 ","3,30,797 "
TOTO - Hold the Line,"1,31,17,48,440 ","6,12,931 "
Franz Ferdinand - Take Me Out,"1,30,97,95,376 ","7,40,474 "
The Script - The Man Who Can't Be Moved,"1,30,82,55,036 ","14,77,232 "
Future - Low Life,"1,30,72,50,956 ","5,07,823 "
Taylor Swift - Delicate,"1,30,71,01,358 ","4,22,758 "
Drake - Jimmy Cooks,"1,30,68,35,075 ","4,55,389 "
Maroon 5 - One More Night,"1,30,62,21,349 ","8,38,789 "
Don Toliver - No Idea,"1,30,39,01,659 ","5,91,385 "
Britney Spears - ...Baby One More Time,"1,30,35,22,295 ","7,77,274 "
Bryson Tiller - Exchange,"1,30,29,66,961 ","2,78,648 "
Future - WAIT FOR U,"1,30,22,38,676 ","7,84,835 "
The Cranberries - Linger,"1,30,11,46,286 ","10,20,936 "
Radiohead - No Surprises,"1,30,08,20,454 ","9,81,870 "
Rudimental - These Days,"1,30,07,90,970 ","2,58,600 "
Calvin Harris - Blame,"1,29,98,16,656 ","6,21,125 "
Jimmy Eat World - The Middle,"1,29,85,92,484 ","5,68,418 "
Hailee Steinfeld - Starving,"1,29,81,62,134 ","1,74,919 "
Pedro CapÃ³ - Calma,"1,29,65,95,061 ","2,25,676 "
The Offspring - The Kids Aren't Alright,"1,29,65,68,706 ","6,04,047 "
Lil Baby - Yes Indeed,"1,29,59,99,552 ","2,62,476 "
Cigarettes After Sex - Cry,"1,29,50,61,627 ","10,14,938 "
Drake - Nonstop,"1,29,24,48,097 ","3,25,496 "
Guns N' Roses - November Rain,"1,29,13,90,854 ","7,06,579 "
J. Cole - Work Out,"1,29,13,69,211 ","6,57,003 "
Ozuna - Hey Mor,"1,29,07,07,196 ","2,67,964 "
Ava Max - Kings & Queens,"1,29,06,79,098 ","5,51,106 "
Chris Brown - No Guidance,"1,29,06,71,673 ","3,16,296 "
Dua Lipa - Dance The Night,"1,29,02,11,048 ","5,03,026 "
Elvis Presley - Can't Help Falling in Love,"1,28,95,40,694 ","5,68,199 "
American Authors - Best Day Of My Life,"1,28,93,96,880 ","4,75,273 "
Eminem - Not Afraid,"1,28,88,50,876 ","4,34,973 "
Adele - Send My Love (To Your New Lover),"1,28,83,48,087 ","5,81,318 "
Icona Pop - I Love It,"1,28,79,24,423 ","8,49,808 "
Maluma - Borro Cassette,"1,28,77,36,525 ","8,50,895 "
G-Eazy - Him & I,"1,28,62,77,681 ","5,82,271 "
50 Cent - Candy Shop,"1,28,49,68,302 ","5,10,327 "
Linkin Park - Faint,"1,28,49,37,938 ","11,21,557 "
Billy Joel - Piano Man,"1,28,49,35,385 ","7,35,050 "
ROSALÃA - DESPECHÃ,"1,28,37,23,692 ","4,33,829 "
My Chemical Romance - Teenagers,"1,28,36,29,426 ","5,70,555 "
